Sandra,Rios,1,(449) 611-5319,,,hessel.ike@gmail.com,,B1,1,English,7a,c1,c2,c3
Sullivan,Valenzuela,2,(230) 305-5623,,,bruen.donald@gmail.com,,B1,2,English,7a,c1,c2,c3
Konnor,Carter,3,(559) 826-1893,,,stephania.boyle@gmail.com,,B1,3,English,7a,c1,c2,c3
Tanya,Joseph,4,(641) 279-8008,,,tatyana67@bashirian.com,,B1,4,English,7a,c1,c2,c3
Rodrigo,Deleon,5,(247) 406-1239,,,alfredo.bechtelar@mante.com,,B1,5,English,7a,c1,c2,c3
Rayne,Benjamin,6,(474) 397-2990,,,eldred08@yahoo.com,,B1,6,English,7a,c1,c2,c3
Joey,Elliott,7,(828) 947-6863,,,stuart.kihn@hotmail.com,,B1,7,English,7a,c1,c2,c3
Jamal,Berger,8,(379) 982-7461,,,goodwin.patience@hotmail.com,,B1,8,English,7a,c1,c2,c3
Nick,Rubio,9,(999) 734-5228,,,collin.bartell@hoeger.com,,B1,9,English,7a,c1,c2,c3
Justine,Vang,10,(335) 302-2577,,,cauer@will.net,,B1,10,English,7a,c1,c2,c3
Tyshawn,Rodriguez,11,(224) 284-5096,,,natasha90@hotmail.com,,B1,11,English,7a,c1,c2,c3
Samson,Harmon,12,(523) 737-8627,,,ian.johnson@hotmail.com,,B1,12,English,7a,c1,c2,c3
Derrick,Pennington,13,(300) 947-6969,,,gwisoky@gmail.com,,B1,1,English,7a,c1,c2,c3
Tessa,Jones,14,(389) 834-0636,,,hintz.rossie@gleichner.com,,B1,2,English,7a,c1,c2,c3
Wayne,Roach,15,(341) 783-6065,,,dickinson.eliza@hotmail.com,,B1,3,English,7a,c1,c2,c3
Rafael,Rush,16,(691) 224-5647,,,jillian.hirthe@yahoo.com,,B1,4,English,7a,c1,c2,c3
Areli,Lozano,17,(449) 527-0763,,,jbaumbach@gmail.com,,B1,5,English,7a,c1,c2,c3
Gretchen,Douglas,18,(971) 271-9861,,,jacques.terry@deckow.net,,B1,6,English,7a,c1,c2,c3
Jayden,Benton,19,(493) 526-1206,,,ezekiel26@swaniawski.com,,B1,7,English,7a,c1,c2,c3
Talia,Cardenas,20,(826) 909-2963,,,schuppe.estell@schumm.info,,B1,8,English,7a,c1,c2,c3
Jacey,Wise,21,(741) 869-0017,,,johnny.eichmann@gmail.com,,B1,9,English,7a,c1,c2,c3
Casey,Lara,22,(931) 811-7682,,,reinger.naomi@mosciski.com,,B1,10,English,7a,c1,c2,c3
Brayden,Conner,23,(259) 317-5044,,,corine81@yahoo.com,,B1,11,English,7a,c1,c2,c3
Gianni,King,24,(704) 259-7030,,,jcruickshank@langosh.com,,B1,12,English,7a,c1,c2,c3
Francesca,Bird,25,(373) 334-4499,,,blair68@gmail.com,,B1,1,English,7a,c1,c2,c3
Trenton,Huynh,26,(680) 327-7119,,,kiehn.ettie@yahoo.com,,B1,2,English,7a,c1,c2,c3
Ingrid,Schneider,27,(240) 690-4779,,,milan.thompson@effertz.com,,B1,3,English,7a,c1,c2,c3
Isaac,Khan,28,(469) 742-0999,,,bruce70@yahoo.com,,B1,4,English,7a,c1,c2,c3
Fiona,Beltran,29,(309) 683-9396,,,lily.hessel@hotmail.com,,B1,5,English,7a,c1,c2,c3
Jacob,Huber,30,(720) 646-5615,,,bmurphy@yahoo.com,,B1,6,English,7a,c1,c2,c3
Darian,Valdez,31,(797) 582-6190,,,wuckert.junius@simonis.net,,B1,7,English,7a,c1,c2,c3
Tyrese,Carr,32,(667) 265-8907,,,josie73@bergnaum.com,,B1,8,English,7a,c1,c2,c3
London,Burch,33,(402) 640-4926,,,emmerich.orion@yahoo.com,,B1,9,English,7a,c1,c2,c3
Pierre,Lloyd,34,(548) 533-6048,,,rosanna05@yahoo.com,,B1,10,English,7a,c1,c2,c3
Nylah,Reilly,35,(984) 546-1938,,,jocelyn00@kertzmann.com,,B1,11,English,7a,c1,c2,c3
Finley,Hurley,36,(931) 438-9710,,,white.loy@romaguera.biz,,B1,12,English,7a,c1,c2,c3
Zain,Kline,37,(448) 952-9407,,,zdickinson@howe.com,,B1,1,English,7a,c1,c2,c3
Dulce,Holt,38,(297) 748-0783,,,kariane.stoltenberg@stoltenberg.net,,B1,2,English,7a,c1,c2,c3
Angelo,Massey,39,(769) 376-7160,,,jonatan20@hotmail.com,,B1,3,English,7a,c1,c2,c3
Riya,Gardner,40,(996) 623-4453,,,lucius.murphy@gmail.com,,B1,4,English,7a,c1,c2,c3
Kelton,Avila,41,(809) 244-4100,,,dare.elisa@hotmail.com,,B1,5,English,7a,c1,c2,c3
Omar,Soto,42,(578) 455-4617,,,sonya44@hotmail.com,,B1,6,English,7a,c1,c2,c3
Priscilla,Ritter,43,(274) 686-4991,,,marcella63@hotmail.com,,B1,7,English,7a,c1,c2,c3
Michaela,Holloway,44,(457) 624-7210,,,maggio.melvina@bruen.com,,B1,8,English,7a,c1,c2,c3
Brayan,Ford,45,(266) 621-2287,,,vmosciski@hilpert.com,,B1,9,English,7a,c1,c2,c3
Emmett,Guerra,46,(472) 646-9691,,,kuhn.jamil@trantow.biz,,B1,10,English,7a,c1,c2,c3
Carissa,Gaines,47,(583) 577-0061,,,crooks.juliet@leuschke.com,,B1,11,English,7a,c1,c2,c3
Lucas,Oconnell,48,(890) 305-9620,,,vandervort.talia@carter.info,,B1,12,English,7a,c1,c2,c3
